@relation 'weka_v3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-13,339'

@attribute lowLevel.barkbands.stdev.17 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_complexity.stdev numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute lowLevel.barkbands.mean.17 numeric
@attribute tonal.chords_key {C,F,E,D,A,G,C#,B,A#,G#,D#}
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.chords_scale {major,minor}
@attribute tonal.key_scale {minor,major}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000028,D#,0.023545,0.698295,0.000066,0.580883,2.864244,6607261,0.000013,D#,0,major,major,low
0.000014,A#,0.020333,0.700906,0.000039,0.600066,2.861963,8089065.5,0.000007,F,0,minor,minor,low
0.000006,D,0.022997,0.536945,0.000023,0.494988,1.502585,6235376,0.000005,B,0,minor,major,low
0.000012,D#,0.017968,0.432259,0.000079,0.385086,2.157679,7954873,0.000013,D#,0,major,major,low
0.000017,A,0.018903,0.494601,0.000053,0.440402,2.945879,7168566.5,0.000008,C#,0,minor,major,low
0.000023,C,0.017176,0.358958,0.000108,0.287954,3.157368,4411918,0.000027,C,0,minor,minor,low
0.000021,C,0.020596,0.477732,0.00009,0.343447,2.916561,7260934,0.000021,C,0,minor,major,low
0.000028,G#,0.016907,0.326693,0.000078,0.363259,3.025774,6251037,0.000015,G#,0,major,major,low
0.000039,F,0.017396,0.506651,0.00015,0.498171,3.978139,7915508,0.000032,C,0,minor,minor,low
0.000015,D#,0.015696,0.369288,0.000046,0.252498,1.910169,3966291.75,0.000016,G#,0,major,major,low
0.000016,D#,0.016801,0.596049,0.000079,0.281833,3.46124,2983477.75,0.000014,G#,0,major,major,low
0.000007,D,0.016323,0.325363,0.000036,0.316851,1.989715,3958700.75,0.000007,A#,0,major,minor,mid
0.00002,F,0.021071,0.491672,0.000059,0.394754,2.666133,4356970,0.000012,F,0,minor,minor,mid
0.000017,C,0.015623,0.477361,0.000062,0.344869,2.845109,7370400,0.000013,C,0,minor,minor,mid
0.000049,F,0.023937,0.423803,0.000251,0.427051,3.820071,4358376,0.000024,F,0,minor,minor,mid
0.000072,D#,0.025305,0.750854,0.000121,0.580696,3.879007,5985331,0.000023,A#,0,major,major,mid
